imdbId,title,releaseYear,releaseDate,genre,writers,actors,directors,sequel,hitFlop,primary_genre,primary_actor,primary_director,hitFlop_label,genre_enc,actor_enc,director_enc
tt2621000,Jolly LLB,2013,15 Mar 2013,Comedy | Drama,Subhash Kapoor,Arshad Warsi | Amrita Rao | Boman Irani | Saurabh Shukla,Subhash Kapoor,0.0,6,Comedy,Arshad Warsi,Subhash Kapoor,Hit,4,64,619
tt2622130,Jayantabhai Ki Luv Story,2013,15 Feb 2013,Action | Comedy | Romance,Kiran Kotrial,Zakir Hussain | Nasser | Vivek Oberoi | Neha Sharma,Vinnil Markan,0.0,1,Action,Zakir Hussain,Vinnil Markan,Flop,0,518,692
tt2624852,Gangoobai,2013,11 Jan 2013,Drama | Family,Priya Krishnaswamy | Rayomand J. Patell (additional screenplay writer) | Abhay Tiwari (dialogue),Sarita Joshi | Purab Kohli | Mita Vasisht | Rajendranath Zutshi,Priya Krishnaswamy,0.0,1,Drama,Sarita Joshi,Priya Krishnaswamy,Flop,7,407,409
tt2630076,Super Nani,2014,31 Oct 2014,Drama,,Rekha | Sharman Joshi | Randhir Kapoor | Anupam Kher,Indra Kumar,0.0,1,Drama,Rekha,Indra Kumar,Flop,7,364,217
tt2633598,Rise of the Zombie,2013,05 Apr 2013,Drama | Horror | Thriller,Devaki Singh,Benjamin Gilani | Luke Kenny | Kirti Kulhari | Ashwin Mushran,Luke Kenny | Devaki Singh,0.0,1,Drama,Benjamin Gilani,Luke Kenny,Flop,7,93,296
tt2635622,The Attacks of 26/11,2013,01 Mar 2013,Drama,Prashant Pandey (dialogue) | Rommel Rodrigues (story),Nana Patekar | Atul Kulkarni | Ganesh Yadav | Ferzad Jehani,Ram Gopal Varma,0.0,2,Drama,Nana Patekar,Ram Gopal Varma,Flop,7,276,473
tt2675978,Dedh Ishqiya,2014,10 Jan 2014,Comedy | Drama | Romance,Vishal Bhardwaj (dialogue) | Vishal Bhardwaj (screenplay) | Abhishek Chaubey (screenplay) | Darab Farooqui (story),Naseeruddin Shah | Madhuri Dixit | Arshad Warsi | Huma Qureshi,Abhishek Chaubey,1.0,2,Comedy,Naseeruddin Shah,Abhishek Chaubey,Flop,4,281,12
tt2679480,Sulemani Keeda,2014,28 Nov 2014,Comedy | Romance,Amit Masurkar,Naveen Kasturia | Mayank Tewari | Aditi Vasudev | Karan Mirchandani,Amit Masurkar,0.0,1,Comedy,Naveen Kasturia,Amit Masurkar,Flop,4,285,49
tt2691010,Mumbai 125 KM 3D,2014,17 Oct 2014,Horror,Hemant Madhukar,Aparna Bajpai | Karanvir Bohra | Joe Debroy | Veena Malik,Hemant Madhukar,0.0,1,Horror,Aparna Bajpai,Hemant Madhukar,Flop,11,55,205
tt2699840,John Day,2013,13 Sep 2013,Drama,Kartik Krishnan (dialogue) | Ahishor Solomon,Naseeruddin Shah | Randeep Hooda | Taran Bajaj | Harsh Chhaya,Ahishor Solomon,0.0,1,Drama,Naseeruddin Shah,Ahishor Solomon,Flop,7,281,24
tt2706264,Rangrezz,2013,21 Mar 2013,Action |Drama |Adventure,Manisha Korde (dialogue) | Mushtaq Sheikh (screenplay),Jacky Bhagnani | Priya Anand | Rajpal Yadav | Amitosh Nagpal,Priyadarshan,0.0,1,Action,Jacky Bhagnani,Priyadarshan,Flop,0,186,410
tt2727028,Total Chaos,2014,07 Mar 2014,Comedy | Drama | Romance,Dominic Harari (based on the film by) | Neeraj Pandey | Teresa Pelegri (based on the film by),Ali Zafar | Yami Gautam | Anupam Kher | Kiron Kher,Eeshwar Nivas,0.0,1,Comedy,Ali Zafar,Eeshwar Nivas,Flop,4,30,168
tt2762334,Main Tera Hero,2014,04 Apr 2014,Action | Comedy | Romance,Tushar Hiranandani (story) | Milap Zaveri (dialogue),Salman Khan | Ileana | Anupam Kher | Varun Dhawan,David Dhawan,0.0,5,Action,Salman Khan,David Dhawan,Average,0,390,145
tt2767712,Badlapur Boys,2014,12 Dec 2014,Drama,Shailesh Verma,Annu Kapoor | Anupam Maanav | Saranya Mohan | Nishan,Shailesh Verma,0.0,1,Drama,Annu Kapoor,Shailesh Verma,Flop,7,51,569
tt2796318,Mickey Virus,2013,25 Oct 2013,Comedy | Thriller,Elvin Raja (script co-writer) | Kuldeep Ruhil (script consultant & dialogue) | Saurabh Varma (screenplay),Manish Paul | Dean Alexandrou | Elli Avram | Varun Badola,Saurabh Varma,0.0,2,Comedy,Manish Paul,Saurabh Varma,Flop,4,247,565
tt2797242,Bombay Talkies,2013,03 May 2013,Drama,,Rani Mukerji | Randeep Hooda | Saqib Saleem | Nawazuddin Siddiqui,Zoya Akhtar | Dibakar Banerjee | Karan Johar | Anurag Kashyap,0.0,2,Drama,Rani Mukerji,Zoya Akhtar,Flop,7,354,715
tt2798620,Chhota Bheem and the Curse of Damyaan,2012,18 May 2012,Animation | Adventure | Fantasy,Rajiv Chilaka (original idea) | Richa Deo | Seeta,Jigna Bhardwaj | Chutki | Kaustav Ghosh | Rajesh Kava,Rajiv Chilaka,0.0,2,Animation,Jigna Bhardwaj,Rajiv Chilaka,Flop,2,195,457
tt2804026,Aurangzeb,2013,17 May 2013,Action | Drama | Thriller,Atul Sabharwal (script),Arjun Kapoor | Prithviraj Sukumaran | Jackie Shroff | Rishi Kapoor,Atul Sabharwal,0.0,2,Action,Arjun Kapoor,Atul Sabharwal,Flop,0,60,114
tt2806788,Fukrey,2013,14 Jun 2013,Comedy | Drama | Romance,Mrigdeep Singh Lamba (additional dialogue) | Mrigdeep Singh Lamba (screenplay) | Vipul Vig (screenplay) | Vipul Vig (story),Priya Anand | Richa Chadda | Kapil Dubey | Ali Fazal,Mrigdeep Singh Lamba,0.0,5,Comedy,Priya Anand,Mrigdeep Singh Lamba,Average,4,314,346
tt2814372,Gippi,2013,10 May 2013,Comedy | Drama,Sonam Nair (screenplay),Divya Dutta | Arbaz Kadwani | Taaha Shah | Doorva Tripathi,Sonam Nair,0.0,2,Comedy,Divya Dutta,Sonam Nair,Flop,4,134,610
tt2826126,Shree,2013,26 Apr 2013,Sci-Fi,Rajesh Bachchani,Hussain Kuwajerwala | Paresh Ganatra | Rio Kapadia | Shivani Tanksale,Rajesh Bachchani,0.0,1,Sci-Fi,Hussain Kuwajerwala,Rajesh Bachchani,Flop,16,173,446
tt2848824,Bajatey Raho,2013,26 Jul 2013,Comedy | Drama | Thriller,Zafar Khan (story) | Akshay Verma (dialogue),Tusshar Kapoor | Vinay Pathak | Ranvir Shorey | Vishakha Singh,Shashant Shah,0.0,2,Comedy,Tusshar Kapoor,Shashant Shah,Flop,4,485,578
tt2855648,Madras Cafe,2013,23 Aug 2013,Action | Drama | History,Shubhendu Bhattacharya (story) | Juhi Chaturvedi (dialogue) | Somnath Dey (story) | Dusan Tolmac (additional screenplay) | Dusan Tolmac (script consultant),John Abraham | Nargis Fakhri | Rashi Khanna | Avijit Dutt,Shoojit Sircar,0.0,4,Action,John Abraham,Shoojit Sircar,Average,0,199,592
tt2857500,Saare Jahaan Se Mehnga...,2013,08 Mar 2013,Comedy | Drama,Vijay Manral | Roopesh Thapliyal | Rupesh Thapliyal,Sanjai Mishra | Vishwa S. Badola | Ranjan Chhabra | Zakir Hussain,Anshul Sharma,0.0,1,Comedy,Sanjai Mishra,Anshul Sharma,Flop,4,396,70
tt2861320,Policegiri,2013,05 Jul 2013,Action | Comedy | Drama,Farhad (dialogue) | Hari (original story) | K.S. Ravikumar (screenplay) | Sajid (dialogue),Sanjay Dutt | Prachi Desai | Prakash Raj | Om Puri,K.S. Ravikumar,0.0,2,Action,Sanjay Dutt,K.S. Ravikumar,Flop,0,399,255
tt2871010,Sonali Cable,2014,17 Oct 2014,Drama,Charudutt Acharya,Rhea Chakraborty | Ali Fazal | Smita Jaykar | Raghav Juyal,Charudutt Acharya,0.0,1,Drama,Rhea Chakraborty,Charudutt Acharya,Flop,7,365,139
